movieTitle,year,genre,totalGross,typeGross
The Secret World of Arietty,2012,Adventure,20325733,2
John Carter,2012,Adventure,77372445,2
Chimpanzee,2012,Documentary,30675725,2
The Avengers,2012,Action,660081224,2
Brave,2012,Adventure,251292441,2
People Like Us,2012,Drama,13165822,2
The Odd Life of Timothy Green,2012,Drama,54914942,2
Frankenweenie,2012,Comedy,37363513,2
Wreck-It Ralph,2012,Adventure,200354959,2
Lincoln,2012,Drama,192122330,2
Oz the Great and Powerful,2013,Adventure,243434130,2
Iron Man 3,2013,Action,424084233,2
Monsters University,2013,Adventure,278395641,2
The Lone Ranger,2013,Western,92597388,2
Disney Planes,2013,Comedy,93614037,2
The Fifth Estate,2013,Drama,3374251,2
Thor: The Dark World,2013,Adventure,213962184,2
Kaze Tachinu,2013,Drama,5367415,2
Frozen,2013,Adventure,414997174,2
Delivery Man,2013,Comedy,31787136,2
Saving Mr. Banks,2013,Drama,86249969,2
Need for Speed,2014,Action,44955015,2
Muppets Most Wanted,2014,Comedy,52807594,2
Captain America: The Winter Soldier,2014,Action,268013076,2
Bears,2014,Documentary,18346024,2
Million Dollar Arm,2014,Drama,37607865,2
Maleficent,2014,Adventure,249089809,2
Planes: Fire and Rescue,2014,Adventure,61040349,2
Guardians of the Galaxy,2014,Adventure,343771168,2
The Hundred-Foot Journey,2014,Romantic Comedy,55961409,2
"Alexander and the Terrible, Horrible,…",2014,Comedy,69055550,2
Big Hero 7,2014,Adventure,229249222,2
Into the Woods,2014,Musical,130894237,2
Strange Magic,2015,Adventure,12429583,2
"McFarland, USA",2015,Drama,44480275,2
Cinderella,2015,Drama,201151353,2
Monkey Kingdom,2015,Documentary,16432322,2
Avengers: Age of Ultron,2015,Action,459005868,2
Tomorrowland,2015,Adventure,93436322,2
Inside Out,2015,Adventure,356461711,2
Ant-Man,2015,Action,180202163,2
Bridge of Spies,2015,Thriller/Suspense,72313754,2
The Good Dinosaur,2015,Adventure,123087120,2
Star Wars Ep. VII: The Force Awakens,2015,Adventure,936662225,2
The Finest Hours,2016,Thriller/Suspense,27569558,2
Zootopia,2016,Adventure,341268248,2
The Jungle Book,2016,Adventure,364001123,2
A Beautiful Planet,2016,Documentary,7895708,2
Captain America: Civil War,2016,Action,408084349,2
Alice Through the Looking Glass,2016,Adventure,77042381,2
Finding Dory,2016,Adventure,486295561,2
The BFG,2016,Adventure,55483770,2
Pete’s Dragon,2016,Adventure,76233151,2
The Light Between Oceans,2016,Drama,12545979,2
Queen of Katwe,2016,Drama,8874389,2
Doctor Strange,2016,Adventure,232532923,2
Moana,2016,Adventure,246082029,2
Rogue One: A Star Wars Story,2016,Adventure,529483936,2
Snow White and the Seven Dwarfs,1937,Musical,5228953251,2
Pinocchio,1940,Adventure,2188229052,2
Fantasia,1940,Musical,2187090808,2
Song of the South,1946,Adventure,1078510579,2
Cinderella,1950,Drama,920608730,2
"20,000 Leagues Under the Sea",1954,Adventure,528279994,2
Lady and the Tramp,1955,Drama,1236035515,2
Sleeping Beauty,1959,Drama,21505832,2
101 Dalmatians,1961,Comedy,1362870985,2
The Absent Minded Professor,1961,Comedy,310094574,2
Babes in Toyland,1961,Musical,124841160,2
Bon Voyage!,1962,Comedy,109581646,2
The Sword in the Stone,1963,Adventure,153870834,2
The Jungle Book,1967,Musical,789612346,2
Blackbeard's Ghost,1968,Comedy,138612686,2
The Aristocats,1970,Musical,255161499,2
The Boatniks,1970,Comedy,101200742,2
Bedknobs and Broomsticks,1971,Musical,91305448,2
The Apple Dumpling Gang,1975,Comedy,131246872,2
Freaky Friday,1977,Comedy,98067733,2
The Many Adventures of Winnie the Pooh,1977,,0,2
The Rescuers,1977,Adventure,159743914,2
Herbie Goes to Monte Carlo,1977,,105847527,2
The Black Hole,1979,,120377374,2
Midnight Madness,1980,,9088096,2
The Last Flight of Noah’s Ark,1980,,34472116,2
The Devil and Max Devlin,1981,,48517980,2
Amy,1981,Drama,0,2
The Fox and the Hound,1981,Comedy,133118889,2
Condorman,1981,Action,0,2
Night Crossing,1982,Drama,12903059,2
Tron,1982,Action,77184895,2
Tex,1982,Drama,20643199,2
Trenchcoat,1983,Comedy,11519089,2
Something Wicked This Way Comes,1983,Horror,15136765,2
Never Cry Wolf,1983,Drama,70669955,2
Running Brave,1983,Drama,3223725,2
Splash,1984,Comedy,157057661,2
Country,1984,Drama,21075000,2
Baby: Secret of the Lost Legend,1985,Adventure,33900697,2
Return to Oz,1985,Adventure,25215934,2
The Black Cauldron,1985,Adventure,50553142,2
My Science Project,1985,Comedy,9736051,2
The Journey of Natty Gann,1985,Drama,22302956,2
One Magic Christmas,1985,Drama,31415432,2
Down and Out in Beverly Hills,1986,Comedy,141183693,2
Off Beat,1986,Comedy,11003932,2
Ruthless People,1986,Comedy,162748712,2
The Great Mouse Detective,1986,Adventure,53637367,2
Flight of the Navigator,1986,Adventure,42183197,2
Tough Guys,1986,Comedy,48758184,2
The Color of Money,1986,Drama,117957323,2
Outrageous Fortune,1987,Comedy,113976921,2
Tin Men,1987,Comedy,54787202,2
Ernest Goes to Camp,1987,Comedy,50686462,2
Benji the Hunted,1987,Adventure,32798382,2
Adventures in Babysitting,1987,Comedy,72853569,2
Stakeout,1987,Comedy,141592160,2
Can't Buy Me Love,1987,Romantic Comedy,68181300,2
Hello Again,1987,Comedy,44024529,2
3 Men and a Baby,1987,Comedy,353334607,2
Good Morning Vietnam,1987,Comedy,254414837,2
Shoot to Kill,1988,Action,60097074,2
D.O.A.,1988,Thriller/Suspense,26062188,2
Return to Snowy River,1988,Adventure,28073384,2
Big Business,1988,Comedy,82352451,2
Who Framed Roger Rabbit?,1988,Comedy,316250084,2
Cocktail,1988,Drama,160442289,2
The Rescue,1988,Action,12009960,2
Heartbreak Hotel,1988,Comedy,11300331,2
The Good Mother,1988,Drama,9772655,2
Ernest Saves Christmas,1988,Comedy,57845202,2
Oliver & Company,1988,Adventure,102254492,2
Beaches,1988,Drama,120381757,2
Three Fugitives,1989,Comedy,85757817,2
New York Stories,1989,Drama,22740861,2
Disorganized Crime,1989,Comedy,15233465,2
Dead Poets Society,1989,Drama,202531517,2
"Honey, I Shrunk the Kids",1989,Adventure,276191669,2
Turner & Hooch,1989,Comedy,150176361,2
Cheetah,1989,Adventure,16653473,2
An Innocent Man,1989,Drama,40983414,2
Gross Anatomy,1989,Drama,23972012,2
The Little Mermaid,1989,Adventure,223726012,2
Blaze,1989,Drama,39884640,2
Stella,1990,Drama,40077147,2
Where the Heart Is,1990,Comedy,2210321,2
Pretty Woman,1990,Romantic Comedy,356389765,2
Ernest Goes to Jail,1990,Comedy,49999822,2
Spaced Invaders,1990,Comedy,29964452,2
Fire Birds,1990,Action,29485923,2
Dick Tracy,1990,Action,207231621,2
Betsy's Wedding,1990,Comedy,39433357,2
Arachnophobia,1990,Thriller/Suspense,106290270,2
DuckTales: The Movie - Treasure of th…,1990,Adventure,36107823,2
Taking Care of Business,1990,Comedy,39963460,2
Mr. Destiny,1990,Comedy,30722056,2
The Rescuers Down Under,1990,Adventure,55796728,2
3 Men and a Little Lady,1990,Comedy,143108869,2
Green Card,1990,Romantic Comedy,59679131,2
White Fang,1991,Adventure,69540672,2
Scenes from a Mall,1991,Comedy,19149495,2
Haakon Haakonsen,1991,Adventure,30084149,2
The Marrying Man,1991,Romantic Comedy,24939118,2
Oscar,1991,Comedy,47181395,2
One Good Cop,1991,Action,22580472,2
What About Bob?,1991,Comedy,127571325,2
Wild Hearts Can't Be Broken,1991,Drama,14617333,2
The Rocketeer,1991,Action,93256673,2
The Doctor,1991,Drama,75084021,2
Paradise,1991,Drama,37313540,2
Deceived,1991,Thriller/Suspense,57544453,2
Ernest Scared Stupid,1991,Comedy,28320147,2
